Stock Code,Stock Name,Headline,Main Category,Subcategory,PDF Link,Date,News ID
543386,Fino Payments Bank Ltd,Earnings Cal Q4FY25 Audio Link,General Announcement,Analyst / Investor Meet,https://www.bseindia.com/xml-data/corpfiling/AttachLive/11051c48-4910-4121-ac59-a9800ec7cb19.pdf,29/04/25,f2fc762c-a6fa-43cc-8e12-0ab2e464a49b
532978,Bajaj Finserv Ltd,"Annual General Meeting of the Company will be held on Friday, 25 July 2025. Further details will be provided in due course.",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/404d7427-2c26-46b1-88a5-d5ff01268793.pdf,29/04/25,b5bfe92f-8eca-4df9-851b-b5eea8bfc47b
544027,Fedbank Financial Services Ltd,"Audio recording of earnings conference call held on April 29, 2025",General Announcement,Analyst / Investor Meet,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c14f6fba-7870-493f-a529-23490f483e37.pdf,29/04/25,b7f3846b-b8ff-49f0-b589-437637f4656a
530755,Coral Newsprints Ltd,pcs certificate under regulation 40(10),General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e2a2a311-04f6-445a-a6d9-13b382cabe5d.pdf,29/04/25,2123bc02-f560-4561-8a68-ef1630ee8338
500660,GlaxoSmithKline Pharmaceuticals Ltd,As per attachment,General Announcement,As Per Attachment,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9d89ca75-8708-4a2e-a2ea-2387b66884e9.pdf,29/04/25,d3185474-20fa-449a-a4c2-f34f2c36b0a8
532504,Navin Fluorine International Ltd-$,<b>Format of the Annual Disclosure to be made by an entity identified as a Large Corporate.</b><br/><br/> <table border=''1px''>    <tr>       <td><b>Sr. No.</b></td>       <td><b>Particulars</b></td> ....,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e292b5f5-3d9a-4278-b404-77c5c97c37a1.pdf,29/04/25,ff60a295-e68b-4d52-9c51-737086fffd71
543390,PB Fintech Ltd,"PB Fintech Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 15/05/2025 ,inter alia, to consider and approve the Audited Standalone and Consolidated ....",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/869fec90-773f-4ce3-bd88-e7140b709fc8.pdf,29/04/25,7ad88c10-a29f-400b-9279-248c733f8d4a
532978,Bajaj Finserv Ltd,"Pursuant to Regulation 42 of SEBI Listing Regulations, 2015, the record date for the purpose of determining the members eligible to receive the final dividend for the financial year ended ....",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/14a65372-8209-44b7-a575-e1e34f9f76df.pdf,29/04/25,4d7fabb8-b0ab-426e-9ebf-28dad5b25a63
500645,Deepak Fertilisers & Petrochemicals Corporation Ltd,"Intimation under regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.",General Announcement,Acquisition,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7eaf3530-e153-4314-a26f-2a8a70ef4b62.pdf,29/04/25,8564e37e-f07f-4fc2-8db8-6e32c683eeda
544373,NAPS Global India Ltd,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulation, 2018",General Announcement,Under Reg,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f70c0557-376b-42bf-84a9-e6a27de40613.pdf,29/04/25,997ad361-d03b-40dd-80a4-d65f9450bb9f
544008,Max Estates Ltd,<b>Format of Initial Disclosure to be made by an entity identified as a Large Corporate.</b><br/><br/> <table border=''1px''><tr> <td><b>Sr. No.</b></td> <td><b>Particulars</b></td> <td><b>Details</b></td> ....,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f705c961-280c-465d-a432-7bd631ba37e6.pdf,29/04/25,48a39e9e-90ff-4308-ab69-73ca2c3f75ba
532217,Siel Financial Services Ltd,"Siel Financial Services Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 05/05/2025 ,inter alia, to consider and approve Audited Financial Results ....",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/124a7450-8cf0-4092-8cd0-16a5c6b04263.pdf,29/04/25,a7ccb77f-7caf-47df-bdfe-305f3324cbc2
532504,Navin Fluorine International Ltd-$,<b>Format of Initial Disclosure to be made by an entity identified as a Large Corporate.</b><br/><br/> <table border=''1px''><tr> <td><b>Sr. No.</b></td> <td><b>Particulars</b></td> <td><b>Details</b></td> ....,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8992e126-4ff5-46f4-be68-758dff11025d.pdf,29/04/25,7f1a248a-52ab-4124-ae2b-95d533f6c89d
512161,Securekloud Technologies Ltd,Pls find enclosed intimation with respect to filing of Miscellaneous Application and its outcome thereof.,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b321253f-1360-4153-9ddb-77fb3454ddb8.pdf,29/04/25,0363bbea-d165-4cd6-b111-5394269906e8
532890,Take Solutions Ltd,We wish to inform that Mr. Rangasami Seshadri (DIN: 00197586) has resigned from the position of Non-Executive Independent Director of the Company with effect from 27th April 2025 due to personal work.,General Announcement,Resignation Of Director  0,https://www.bseindia.com/xml-data/corpfiling/AttachLive/093ea913-2f90-47be-ab4e-252c612076e7.pdf,29/04/25,2d4c0c82-dba6-492f-8503-d1aaad217a65
543238,UTI Asset Management Company Ltd,"Press release and investor presentation on financial results of the Company for the quarter and financial year ended 31st March, 2025",General Announcement,Press Release / Media Release,https://www.bseindia.com/xml-data/corpfiling/AttachLive/40d1eb70-1dff-4ab1-9489-85eb75d78f3e.pdf,29/04/25,3aa1fbd9-ca18-41f4-8363-ee1ca5e5ef98
543663,Five-Star Business Finance Ltd,Recommendation of Final Dividend,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/805dbe8f-890f-491e-a280-7530efa7eae5.pdf,29/04/25,1b2e80ce-8ed4-48db-b08f-1890a7a6aa93
532978,Bajaj Finserv Ltd,Investor presentation for the quarter ended 31 March 2025,General Announcement,Investor Presentation  2,https://www.bseindia.com/xml-data/corpfiling/AttachLive/31ef173b-d266-4297-a91a-85908e948bde.pdf,29/04/25,e707dab4-b1f5-4332-b4e7-16872f6c4edd
540611,AU Small Finance Bank Ltd,"We hereby inform that the Bank has allotted 1,35,715 equity shares of face value of Rs. 10/- each on April 29, 2025 pursuant to exercise of equivalent number of Employee Stock Options under ....",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fb9865e6-83cd-455a-8498-4d76873e811f.pdf,29/04/25,4fd051f5-765e-4b39-9eaf-bd7f529e4d87
542726,IndiaMART InterMESH Ltd,"Please find enclosed the Annual Secretarial Compliance Report for the financial year ended March 31, 2025",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4ebc24c9-6620-4e60-96be-26de29da183b.pdf,29/04/25,df12601a-be77-4626-bddd-112a0258e000
543238,UTI Asset Management Company Ltd,"Investor presentation and press release on financial results of the Company for the quarter and financial year ended 31st March, 2025",General Announcement,Investor Presentation  3,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7bdd95c1-34df-4c0c-90fd-df4198ca0c59.pdf,29/04/25,4a69b466-e257-41b0-8516-341fa3a4c322
535958,Integra Essentia Ltd,"Receipt of order dated April 24, 2025, passed by Hon'ble National Company Law Tribunal, Delhi Bench ('NCLT') inter alia directing the convening / dispensing the meeting of Equity Shareholders ....",General Announcement,Award of Order / Receipt of Order,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0e43b029-d736-4e6c-a50d-e4cd78aaff68.pdf,29/04/25,b05c0bbe-19e4-4400-bc5d-18b7460f24dd
519463,IB Infotech Enterprises Ltd,<b>Format of the Annual Disclosure to be made by an entity identified as a Large Corporate.</b><br/><br/> <table border=''1px''>    <tr>       <td><b>Sr. No.</b></td>       <td><b>Particulars</b></td> ....,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2655f99a-2cb2-41c7-a218-80fab7f5dc1e.pdf,29/04/25,c45e9236-edb5-4d87-81f7-53b2d922fe13
543591,Dreamfolks Services Ltd,<b>Format of Initial Disclosure to be made by an entity identified as a Large Corporate.</b><br/><br/> <table border=''1px''><tr> <td><b>Sr. No.</b></td> <td><b>Particulars</b></td> <td><b>Details</b></td> ....,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/eaac79cc-b050-4d10-95ba-1107261e63e5.pdf,29/04/25,d308b114-36f4-4ea3-968a-96dba83650b4
533189,Goenka Diamond & Jewels Ltd,"Dear Sir/Madam,

Enclosed herewith is announcement for trading window closure.",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6f0b3d9f-68e9-4d56-afdb-82f071d4e488.pdf,29/04/25,fa048523-0712-404f-ab67-236478a6a482
540611,AU Small Finance Bank Ltd,"We submit herewith the transcript of the conference call held on Tuesday, April 22, 2025 for the Financial Results of AU Small Finance Bank Limited ('the Bank') for the Quarter and Financial ....",General Announcement,Earnings Call Transcript  2,https://www.bseindia.com/xml-data/corpfiling/AttachLive/bfff12f4-2b1f-4ca5-81e0-930edb842b94.pdf,29/04/25,87b79f5a-6c5b-4a18-9d15-e91cc6a0ec71
533189,Goenka Diamond & Jewels Ltd,"Dear Sir/Madam,

Kindly find enclosed herewith Certificate under regulation 40(9)",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/88483d1c-381d-427e-afda-31da9f343124.pdf,29/04/25,0673f6fb-0ce9-4c0a-a169-89963779d253
519463,IB Infotech Enterprises Ltd,<b>Format of Initial Disclosure to be made by an entity identified as a Large Corporate.</b><br/><br/> <table border=''1px''><tr> <td><b>Sr. No.</b></td> <td><b>Particulars</b></td> <td><b>Details</b></td> ....,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fcba0741-c023-4060-9c76-d1bcfc8b2c91.pdf,29/04/25,b4e040cd-1106-442d-b737-50e779317587
532978,Bajaj Finserv Ltd,The Board approved issue of securities to Bajaj Finserv ESOP Trust.,General Announcement,Issue Of Securities  0,https://www.bseindia.com/xml-data/corpfiling/AttachLive/57b2231a-903b-44e8-847c-ab2ea05edb43.pdf,29/04/25,f555b061-accd-4128-9652-5491c0839ffb
543238,UTI Asset Management Company Ltd,Appointment of Secretarial Auditor,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3b86635e-ba5b-4932-ab10-0fcfb78cfb5c.pdf,29/04/25,a20e27d5-0c55-4a1c-b2f4-da1143cf414b
505978,Triton Valves Ltd,"the Company hereby filed the revised intimation for the intimation filed dated 28th April 2025, as per the additional requirement of stock exchange.",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d329cb9c-707a-4414-854f-7cf3e468b5ef.pdf,29/04/25,79d2e8c2-18a8-4640-a100-8acefc1f8341
